Zone,Population,Disponibilité intérieure Milliers de tonnes,Nourriture Milliers de tonnes,Importations - Quantité Milliers de tonnes,Exportations - Quantité Milliers de tonnes,Pertes Milliers de tonnes,Production Milliers de tonnes,Prix de Production (USD),Variation de stock Milliers de tonnes,Traitement Milliers de tonnes,CAH,KMeans
Brésil,207833823.0,9982.0,9982.0,3.0,4223.0,333.6,14201.0,0.0,0.0,0.0,5,5
Chine - RAS de Hong-Kong,7306322.0,280.0,391.0,907.0,663.0,2.2,24.0,0.0,-12.0,0.0,5,5
"Chine, continentale",1421021791.0,18161.0,17518.0,452.0,576.0,643.0,18236.0,1681.4,-50.0,1.0,5,5
Inde,1338676785.0,3661.0,2965.0,0.0,4.0,695.0,3545.0,0.0,-119.0,0.0,5,5
Japon,127502725.0,2415.0,2359.0,1069.0,10.0,56.0,2215.0,0.0,859.0,0.0,5,5
États-Unis d'Amérique,325084756.0,18266.0,18100.0,123.0,3692.0,333.6,21914.0,0.0,80.0,77.0,5,5
Afghanistan,36296113.0,57.0,55.0,29.0,0.2,2.0,28.0,0.0,0.0,0.0,1,0
Afrique du Sud,57009756.0,2118.0,2035.0,514.0,63.0,83.0,1667.0,2015.1,0.0,0.0,4,2
Albanie,2884169.0,47.0,47.0,38.0,0.0,0.4,13.0,0.0,4.0,0.0,1,0
Algérie,41389189.0,277.0,264.0,2.0,0.0,13.0,275.0,2180.7,0.0,0.0,1,0
Allemagne,82658409.0,1739.0,1609.0,842.0,646.0,66.8,1514.0,1459.6,-29.0,167.0,3,3
Angola,29816766.0,319.0,315.0,277.0,0.0,2.0,42.0,0.0,0.0,2.0,1,0
Antigua-et-Barbuda,95426.0,7.0,5.0,7.0,0.0,0.4,0.0,0.0,0.0,0.0,1,0
Arabie saoudite,33101178.999999996,1435.0,1435.0,722.0,10.0,61.8,616.0,0.0,-108.0,0.0,4,2
Argentine,43937140.0,1962.0,1856.0,8.0,207.0,106.0,2161.0,1324.1,0.0,0.0,4,2
Arménie,2944791.0,47.0,47.0,35.0,0.0,0.0,11.0,3741.2,-2.0,0.0,1,0
Australie,24584620.0,1171.0,1171.0,16.0,42.0,61.8,1269.0,0.0,71.0,0.0,4,2
Autriche,8819901.0,173.0,160.0,110.0,78.0,5.8,148.0,2350.9,8.0,12.0,1,0
Azerbaïdjan,9845320.0,129.0,129.0,27.0,0.0,4.8,104.0,1783.6,2.0,0.0,1,0
Bahamas,381755.0,26.0,16.0,24.0,0.0,0.4,6.0,0.0,4.0,0.0,1,0
Bangladesh,159685424.0,250.0,240.0,0.0,1.2,10.0,249.0,0.0,0.0,0.0,4,0
Barbade,286232.0,17.0,13.0,2.0,0.0,0.4,15.0,0.0,0.0,0.0,1,0
Belgique,11419748.0,152.0,144.0,338.0,656.0,0.0,463.0,0.0,-6.0,33.0,3,0
Belize,375769.0,19.0,10.0,0.0,0.0,0.4,20.0,0.0,1.0,0.0,1,0
Bolivie (État plurinational de),11192855.0,429.0,403.0,1.0,1.0,27.0,533.0,0.0,103.0,0.0,4,0
Bosnie-Herzégovine,3351525.0,55.0,56.0,10.0,8.0,3.0,61.0,967.5,8.0,0.0,1,0
Botswana,2205080.0,7.0,7.0,3.0,0.0,0.6,5.0,0.0,0.0,0.0,1,0
Bulgarie,7102444.0,157.0,157.0,108.0,45.0,2.8,107.0,0.0,13.0,1.0,1,0
Burkina Faso,19193234.0,46.0,44.0,0.0,1.0,2.0,46.0,0.0,0.0,0.0,1,0
Bélarus,9450231.0,265.0,264.0,21.0,152.0,17.0,463.0,0.0,67.0,1.0,4,0
Bénin,11175198.0,161.0,161.0,123.0,0.0,1.8,18.0,0.0,-20.0,0.0,1,0
Cabo Verde,537498.0,10.0,9.0,12.0,4.8,0.6,1.0,4469.3,4.0,0.0,1,0
Cambodge,16009409.0,38.0,37.0,10.0,0.8,1.0,28.0,0.0,0.0,0.0,1,0
Cameroun,24566073.0,82.0,78.0,0.0,0.0,4.0,81.0,0.0,0.0,0.0,1,0
Canada,36732095.0,1433.0,1433.0,182.0,163.0,63.0,1417.0,0.0,3.0,0.0,4,2
Chili,18470439.0,672.0,672.0,155.0,115.0,24.2,712.0,0.0,80.0,0.0,4,0
Chine - RAS de Macao,622585.0,19.0,21.0,23.0,0.0,0.0,3.0,0.0,8.0,0.0,1,0
"Chine, Taiwan Province de",23674546.0,785.0,785.0,161.0,8.0,26.0,652.0,0.0,20.0,0.0,1,0
Chypre,1179678.0,38.0,30.0,14.0,1.0,1.0,25.0,2869.4,0.0,0.0,1,0
